Food Name,State,Type,Allergic Ingredients,Total Calories,Total Carbs,Total Fats,Total Protein,Total Sugar,Total Sodium,Vitamin Content
Coconut Chutney,Lakshadweep,Veg,Coconut,100,5,8.0,1,2,150,Vitamin E
Mutton Curry,Lakshadweep,Non-Veg,Mutton,550,20,35.0,45,2,700,Vitamin B12
Sweet Coconut Rice,Lakshadweep,Veg,Coconut,320,50,15.0,6,35,200,"Vitamin B, E"
Banana Pudding,Lakshadweep,Veg,"Banana, Dairy",250,45,12.0,5,20,100,"Vitamin B, C"
Clam Fry,Lakshadweep,Non-Veg,Shellfish,420,10,35.0,30,1,500,"Vitamin B12, D"
Tapioca and Prawn Curry,Lakshadweep,Non-Veg,"Shellfish, Tapioca",450,50,20.0,35,6,450,"Vitamin B12, D"
Egg Curry,Lakshadweep,Non-Veg,Eggs,350,20,25.0,20,2,500,"Vitamin D, B12"
Squid Fry,Lakshadweep,Non-Veg,Seafood,400,10,30.0,35,1,600,"Vitamin B12, D"
Breadfruit Pakora,Lakshadweep,Veg,"Breadfruit, Gluten",220,40,12.0,4,2,150,Vitamin C
Prawn Roast,Lakshadweep,Non-Veg,Shellfish,390,15,30.0,25,2,500,"Vitamin B12, D"
Chicken Fry,Lakshadweep,Non-Veg,Chicken,450,10,35.0,30,1,700,Vitamin B
Fish Soup,Lakshadweep,Non-Veg,Fish,200,10,10.0,20,1,300,"Vitamin D, B12"
Breadfruit Soup,Lakshadweep,Veg,Breadfruit,180,30,8.0,3,1,100,Vitamin C
Coconut Banana Smoothie,Lakshadweep,Vegan,"Coconut, Banana",200,40,10.0,2,25,150,"Vitamin B, C"
Fish Curry with Rice,Lakshadweep,Non-Veg,Fish,500,60,20.0,30,5,750,"Vitamin B, D"
Tuna Fish Stew,Lakshadweep,Non-Veg,"Fish, Coconut",400,25,22.0,30,3,550,"Vitamin B, D"
Crab Roast,Lakshadweep,Non-Veg,Shellfish,480,20,30.0,40,2,600,"Vitamin B12, D"
Thukpa,Ladakh,Non-Veg,Gluten,320,50,6.0,15,3,700,"Vitamin A, Vitamin B"
Skyu,Ladakh,Veg,Gluten,250,45,5.0,8,2,650,"Vitamin C, Vitamin B"
Chhurpi Soup,Ladakh,Veg,Dairy,210,30,7.0,10,3,500,"Vitamin A, Vitamin D"
Momos,Ladakh,Non-Veg,Gluten,290,35,9.0,12,1,600,"Vitamin C, Vitamin B"
Chhang (Barley Beer),Ladakh,Vegan,Gluten,180,20,0.0,1,5,200,Vitamin B
Tingmo,Ladakh,Veg,Gluten,190,35,3.0,6,0,450,"Vitamin B, Vitamin C"
Khambir,Ladakh,Vegan,Gluten,250,40,6.0,7,2,550,Vitamin B
Paba,Ladakh,Vegan,Gluten,220,35,4.0,8,1,400,"Vitamin B, Vitamin E"
Butter Tea,Ladakh,Veg,Dairy,150,5,12.0,2,0,300,"Vitamin A, Vitamin D"
Thenthuk,Ladakh,Non-Veg,Gluten,310,50,7.0,13,2,700,"Vitamin A, Vitamin C"
Chhutagi,Ladakh,Non-Veg,Gluten,280,45,5.0,10,3,650,"Vitamin A, Vitamin B"
Phirni,Ladakh,Veg,"Dairy, Nuts",210,35,4.0,6,10,300,"Vitamin A, Vitamin C"
Rgi Tsos,Ladakh,Vegan,None,260,40,6.0,9,1,500,Vitamin C
Tapu,Ladakh,Vegan,Gluten,200,35,3.0,7,1,450,"Vitamin B, Vitamin E"
Gur Gur Cha,Ladakh,Veg,Dairy,130,4,10.0,1,0,250,"Vitamin A, Vitamin D"
Zan,Ladakh,Vegan,Gluten,240,35,5.0,7,2,500,"Vitamin B, Vitamin C"
Yak Meat Stew,Ladakh,Non-Veg,None,350,25,20.0,25,1,800,"Vitamin B, Vitamin D"
Paba with Tangtur,Ladakh,Vegan,Gluten,280,40,5.0,10,2,400,"Vitamin B, Vitamin C"
Kholak,Ladakh,Vegan,Gluten,230,30,5.0,8,2,450,"Vitamin B, Vitamin E"
Chhaang Paa,Ladakh,Vegan,Gluten,210,20,3.0,5,4,300,Vitamin B
Tsampa,Ladakh,Vegan,Gluten,220,35,4.0,7,1,400,"Vitamin B, Vitamin E"
Shapta,Ladakh,Non-Veg,Gluten,360,40,12.0,18,3,750,"Vitamin A, Vitamin B"
Keu,Ladakh,Vegan,Gluten,240,35,6.0,9,2,450,"Vitamin C, Vitamin B"
Tagi Khambir,Ladakh,Vegan,Gluten,270,45,5.0,6,2,550,Vitamin B
Gyathuk,Ladakh,Non-Veg,Gluten,320,50,7.0,15,3,700,"Vitamin A, Vitamin B"
Chhurpey,Ladakh,Veg,Dairy,210,30,7.0,10,2,500,"Vitamin D, Vitamin A"
Chilagi,Ladakh,Non-Veg,None,290,40,9.0,13,2,650,"Vitamin A, Vitamin B"
Ladakhi Pulao,Ladakh,Veg,Gluten,280,55,7.0,8,2,600,"Vitamin B, Vitamin C"
Chhutkur,Ladakh,Veg,Dairy,220,35,6.0,7,1,500,Vitamin D
Mokthuk,Ladakh,Non-Veg,Gluten,310,45,7.0,13,2,600,Vitamin C
Apricot Jam,Ladakh,Vegan,None,150,35,0.0,0,25,50,"Vitamin C, Vitamin A"
Ladakhi Green Tea,Ladakh,Vegan,None,2,0,0.0,0,0,5,Vitamin C
Yarkhandi Pulao,Ladakh,Non-Veg,None,380,50,15.0,20,3,700,"Vitamin B, Vitamin C"
Sheer Yakhni,Ladakh,Non-Veg,Dairy,340,30,20.0,15,2,800,"Vitamin D, Vitamin A"
Chilak,Ladakh,Veg,Gluten,220,35,6.0,8,2,500,Vitamin B
Ngampe,Ladakh,Vegan,Gluten,200,40,3.0,7,1,400,Vitamin B
Khur-le,Ladakh,Vegan,Gluten,250,35,4.0,8,2,450,Vitamin B
Gorduk,Ladakh,Non-Veg,None,360,50,15.0,20,3,800,"Vitamin B, Vitamin D"
Ladakhi Barley Cake,Ladakh,Vegan,Gluten,230,40,4.0,7,3,400,Vitamin B
Yak Butter Tea,Ladakh,Veg,Dairy,140,5,12.0,2,0,300,"Vitamin A, Vitamin D"
Changthangi Tea,Ladakh,Veg,Dairy,120,4,8.0,1,0,250,"Vitamin A, Vitamin D"
Ba Phing,Ladakh,Vegan,Gluten,190,30,3.0,6,1,400,Vitamin B
Ladakhi Dumplings,Ladakh,Non-Veg,Gluten,280,35,9.0,12,2,600,"Vitamin A, Vitamin B"
Yarkhandi Soup,Ladakh,Non-Veg,None,330,45,10.0,15,3,750,"Vitamin C, Vitamin B"
Buckwheat Bread,Ladakh,Vegan,Gluten,240,45,3.0,8,2,450,Vitamin B
Dre-thuk,Ladakh,Non-Veg,Gluten,300,50,6.0,14,2,600,Vitamin C
Kashur,Ladakh,Vegan,None,250,40,5.0,7,2,500,Vitamin B
Bak-tso,Ladakh,Non-Veg,None,350,45,12.0,17,2,800,"Vitamin B, Vitamin D"
Sey Thukpa,Ladakh,Non-Veg,Gluten,310,50,7.0,13,2,700,"Vitamin A, Vitamin B"
Tse-lachang,Ladakh,Vegan,Gluten,230,40,5.0,7,1,400,"Vitamin B, Vitamin C"
Grain Soup,Ladakh,Vegan,Gluten,200,35,3.0,6,1,300,"Vitamin B, Vitamin C"
Himalayan Barley Pancake,Ladakh,Vegan,Gluten,240,45,4.0,7,2,450,Vitamin B
Ladakhi Spinach Soup,Ladakh,Vegan,None,190,25,3.0,6,2,400,"Vitamin C, Vitamin A"
Butter Barley Soup,Ladakh,Veg,"Dairy, Gluten",220,30,10.0,8,1,550,"Vitamin A, Vitamin B"
Yak Cheese,Ladakh,Veg,Dairy,250,0,20.0,12,0,400,"Vitamin D, Vitamin A"
Ladakhi Lamb Stew,Ladakh,Non-Veg,None,340,40,15.0,20,3,750,"Vitamin A, Vitamin B"
Roasted Barley Flour,Ladakh,Vegan,Gluten,230,40,3.0,8,2,400,Vitamin B
Shakhtu,Ladakh,Non-Veg,None,330,45,10.0,16,3,700,"Vitamin A, Vitamin B"
Spinach and Buckwheat Salad,Ladakh,Vegan,None,180,20,2.0,5,2,150,"Vitamin C, Vitamin A"
Ladakhi Stir Fry,Ladakh,Vegan,None,200,30,4.0,7,1,350,Vitamin C
Barley Wine,Ladakh,Vegan,Gluten,180,20,0.0,1,5,200,Vitamin B
Grilled Yak Meat,Ladakh,Non-Veg,None,370,15,25.0,30,0,800,"Vitamin B, Vitamin D"
Steamed Yak Dumplings,Ladakh,Non-Veg,Gluten,300,35,10.0,15,1,600,"Vitamin A, Vitamin B"
Fermented Turnip,Ladakh,Vegan,None,170,25,3.0,5,1,250,Vitamin C
Ladakhi Radish Soup,Ladakh,Vegan,None,180,20,3.0,6,2,200,"Vitamin C, Vitamin A"
Yak Jerky,Ladakh,Non-Veg,None,260,5,20.0,30,1,600,Vitamin B
Barley Millet Cake,Ladakh,Vegan,Gluten,230,40,4.0,7,2,400,Vitamin B
Spinach Barley Porridge,Ladakh,Vegan,None,190,35,2.0,6,1,300,"Vitamin A, Vitamin C"
Boiled Barley,Ladakh,Vegan,Gluten,200,40,2.0,6,1,350,Vitamin B
Yak Butter,Ladakh,Veg,Dairy,220,0,20.0,2,0,200,"Vitamin D, Vitamin A"
Ladakhi Garlic Soup,Ladakh,Vegan,None,170,20,3.0,6,2,150,Vitamin C
Yarkhandi Spiced Rice,Ladakh,Non-Veg,None,320,50,10.0,15,2,600,Vitamin B
Apricot Nut Pudding,Ladakh,Veg,"Nuts, Dairy",210,35,8.0,5,15,400,"Vitamin C, Vitamin A"
Goat Cheese,Ladakh,Veg,Dairy,240,0,20.0,14,0,350,"Vitamin D, Vitamin A"
Sour Yogurt,Ladakh,Veg,Dairy,150,12,5.0,8,8,250,"Vitamin D, Vitamin A"
Ladakhi Barley Gruel,Ladakh,Vegan,Gluten,230,40,3.0,7,1,400,Vitamin B
Apricot Laddu,Ladakh,Vegan,Nuts,240,35,10.0,4,15,450,"Vitamin C, Vitamin A"
Yak Milk,Ladakh,Veg,Dairy,190,12,10.0,8,12,250,"Vitamin D, Vitamin A"
Barley Pilaf,Ladakh,Vegan,Gluten,220,45,4.0,6,1,400,Vitamin B
Steamed Buckwheat Bread,Ladakh,Vegan,Gluten,230,45,3.0,8,2,400,Vitamin B
Appam,Kerala,Veg,Gluten,250,40,5.0,6,2,200,"Vitamin B1, B2"
Puttu,Kerala,Veg,Gluten,150,30,1.0,4,1,120,Vitamin B1
Idiyappam,Kerala,Veg,Gluten,200,35,2.0,5,1,150,Vitamin B1
Dosa,Kerala,Veg,Gluten,250,45,8.0,6,2,250,Vitamin B1
Sambar,Kerala,Veg,None,180,20,8.0,7,5,300,Vitamin C
Avial,Kerala,Veg,None,220,25,10.0,8,3,180,"Vitamin A, C"
Thoran,Kerala,Veg,None,180,15,9.0,6,4,250,"Vitamin A, C"
Meen Curry,Kerala,Non-Veg,None,350,10,25.0,28,4,600,"Vitamin B12, D"
Fish Fry,Kerala,Non-Veg,None,400,8,30.0,25,3,800,"Vitamin B12, D"
Kappa,Kerala,Veg,None,300,70,2.0,4,1,150,Vitamin C
Kadala Curry,Kerala,Veg,None,280,35,8.0,15,4,200,"Vitamin B1, C"
Nadan Chicken Curry,Kerala,Non-Veg,None,500,10,40.0,35,5,700,"Vitamin B12, C"
Kaalan,Kerala,Veg,Dairy,250,20,12.0,8,5,180,"Vitamin A, C"
Pulissery,Kerala,Veg,Dairy,220,15,10.0,7,6,200,"Vitamin A, C"
Chemeen Curry,Kerala,Non-Veg,None,400,12,25.0,30,4,600,"Vitamin B12, D"
Kerala Beef Curry,Kerala,Non-Veg,None,550,10,45.0,30,3,750,Vitamin B12
Vegetable Korma,Kerala,Veg,Dairy,300,25,15.0,10,5,220,"Vitamin A, C"
Banana Chips,Kerala,Veg,None,350,50,18.0,2,5,300,Vitamin C
Parippu Curry,Kerala,Veg,None,220,30,8.0,12,2,180,"Vitamin B1, C"
Fish Molee,Kerala,Non-Veg,Dairy,400,15,25.0,28,5,650,"Vitamin B12, D"
Chicken Roast,Kerala,Non-Veg,None,450,10,30.0,40,3,750,Vitamin B12
Vegetable Stew,Kerala,Veg,Dairy,200,20,10.0,8,4,150,"Vitamin A, C"
Sambharam,Kerala,Veg,Dairy,100,5,2.0,1,2,80,Vitamin C
Kichadi,Kerala,Veg,Dairy,210,15,12.0,8,3,190,"Vitamin A, C"
Olan,Kerala,Veg,Dairy,190,20,8.0,7,2,150,"Vitamin A, C"
Kuttanadan Duck Curry,Kerala,Non-Veg,None,500,12,40.0,35,4,700,"Vitamin B12, D"
Chettinad Chicken,Kerala,Non-Veg,None,450,10,35.0,40,3,650,Vitamin B12
Keralan Pork Curry,Kerala,Non-Veg,None,550,15,45.0,40,5,800,Vitamin B12
Rasam,Kerala,Veg,None,150,10,5.0,3,2,200,Vitamin C
Kozhukatta,Kerala,Veg,Dairy,280,35,12.0,10,8,220,"Vitamin A, C"
Prawn Masala,Kerala,Non-Veg,None,400,10,30.0,25,4,600,Vitamin B12
Pachadi,Kerala,Veg,Dairy,180,15,10.0,5,3,150,"Vitamin A, C"
Chakka Varatti,Kerala,Veg,None,300,45,8.0,40,20,250,Vitamin C
Fried Tapioca,Kerala,Veg,None,350,70,10.0,5,10,300,Vitamin C
Vegetable Biriyani,Kerala,Veg,None,350,50,12.0,10,8,250,"Vitamin B1, C"
Chicken Biryani,Kerala,Non-Veg,None,500,60,20.0,35,10,700,Vitamin B12
Mutton Curry,Kerala,Non-Veg,None,600,15,40.0,35,5,800,Vitamin B12
Coconut Rice,Kerala,Veg,None,300,50,15.0,5,4,250,Vitamin B1
Kothu Parotta,Kerala,Non-Veg,None,500,60,25.0,20,6,700,"Vitamin B1, C"
Lemon Rice,Kerala,Veg,None,280,50,10.0,5,3,200,Vitamin C
Mango Pickle,Kerala,Veg,None,150,20,5.0,5,10,500,Vitamin C
Puttu and Kadala Curry,Kerala,Veg,None,400,65,8.0,12,5,300,"Vitamin B1, C"
Appam with Stew,Kerala,Veg,Dairy,350,60,10.0,12,6,350,"Vitamin A, C"
Neyyappam,Kerala,Veg,Dairy,320,40,18.0,10,8,250,Vitamin A
Prawn Curry,Kerala,Non-Veg,None,400,12,30.0,25,4,650,Vitamin B12
Vada,Kerala,Veg,None,350,45,20.0,5,3,400,Vitamin B1
Mutton Korma,Kerala,Non-Veg,Dairy,500,20,35.0,30,4,700,Vitamin B12
Chappathi,Kerala,Veg,Gluten,250,45,6.0,6,2,200,Vitamin B1
Prawn Masala,Kerala,Non-Veg,None,350,15,20.0,30,5,500,Vitamin B12
Fish Cutlet,Kerala,Non-Veg,None,300,20,18.0,22,3,600,Vitamin B12
Sadhya,Kerala,Veg,None,600,80,20.0,25,15,400,"Vitamin A, C"
Vegetable Salad,Kerala,Veg,None,120,15,3.0,2,2,100,"Vitamin A, C"
Ghee Rice,Kerala,Veg,Dairy,300,50,15.0,7,4,250,Vitamin A
Chicken Stew,Kerala,Non-Veg,Dairy,400,20,25.0,35,6,600,Vitamin B12
Parotta,Kerala,Veg,Gluten,300,55,12.0,8,4,250,Vitamin B1
Prawn Roast,Kerala,Non-Veg,None,350,12,25.0,30,5,550,Vitamin B12
Vegetable Uthappam,Kerala,Veg,Gluten,250,50,10.0,8,4,300,Vitamin B1
Mutton Biryani,Kerala,Non-Veg,None,550,60,25.0,35,8,800,Vitamin B12
Fish Fry,Kerala,Non-Veg,None,400,10,30.0,25,3,800,Vitamin B12
Dosa with Sambar,Kerala,Veg,Gluten,350,50,10.0,8,5,300,Vitamin B1
Mango Curry,Kerala,Veg,None,200,25,8.0,6,4,250,Vitamin C
Coconut Chutney,Kerala,Veg,Dairy,150,10,12.0,2,3,200,Vitamin C
Pulao,Kerala,Veg,None,300,55,10.0,6,5,250,Vitamin B1
Pulav,Kerala,Veg,None,350,60,12.0,7,4,300,Vitamin B1
Kozhikode Biryani,Kerala,Non-Veg,None,500,65,20.0,30,8,750,Vitamin B12
Vegetable Pulao,Kerala,Veg,None,300,55,12.0,8,5,250,Vitamin B1
Rava Dosa,Kerala,Veg,Gluten,250,40,10.0,5,3,200,Vitamin B1
Idiyappam with Stew,Kerala,Veg,Dairy,300,35,8.0,7,4,250,"Vitamin B1, C"
Palada Payasam,Kerala,Veg,Dairy,300,50,10.0,20,30,200,Vitamin A
Beef Fry,Kerala,Non-Veg,None,400,10,35.0,30,3,650,Vitamin B12
Fish Curry with Coconut Milk,Kerala,Non-Veg,Dairy,350,15,25.0,20,5,600,Vitamin B12
Vegetable Kootu,Kerala,Veg,Dairy,200,25,12.0,6,5,150,"Vitamin A, C"
Vermicelli Payasam,Kerala,Veg,Dairy,300,60,12.0,20,25,200,Vitamin A
Rava Kesari,Kerala,Veg,Dairy,350,55,10.0,25,15,300,Vitamin A
Egg Curry,Kerala,Non-Veg,Dairy,350,15,20.0,20,6,500,Vitamin B12
Parippu,Kerala,Veg,None,200,30,10.0,8,2,150,"Vitamin B1, C"
Kappa and Fish Curry,Kerala,Non-Veg,None,400,70,15.0,20,5,650,Vitamin B12
Cheera Thoran,Kerala,Veg,None,180,15,8.0,5,3,150,"Vitamin A, C"
Coconut Milk Stew,Kerala,Veg,Dairy,200,10,8.0,4,3,180,"Vitamin A, C"
Prawn Salad,Kerala,Non-Veg,None,250,10,15.0,20,4,300,Vitamin B12
Chicken Vindaloo,Kerala,Non-Veg,None,500,15,30.0,35,6,700,Vitamin B12
Vegetable Curry,Kerala,Veg,None,220,25,10.0,8,3,180,"Vitamin A, C"
Tapioca and Fish Curry,Kerala,Non-Veg,None,400,70,15.0,20,5,650,Vitamin B12
Pulao with Raita,Kerala,Veg,Dairy,350,60,12.0,10,4,300,Vitamin B1
Chicken Cutlet,Kerala,Non-Veg,None,300,15,20.0,25,5,500,Vitamin B12
Mutton Shami Kebab,Kerala,Non-Veg,None,400,10,25.0,30,4,600,Vitamin B12
Fish in Tamarind Sauce,Kerala,Non-Veg,None,350,15,20.0,25,6,550,Vitamin B12
Vegetable Sambar,Kerala,Veg,None,180,25,8.0,7,4,200,"Vitamin A, C"
Mutton Rogan Josh,Kerala,Non-Veg,None,500,15,35.0,40,6,750,Vitamin B12
Nendran Banana Chips,Kerala,Veg,None,350,50,18.0,2,5,300,Vitamin C
Beef Ularthiyathu,Kerala,Non-Veg,None,500,15,40.0,35,4,750,Vitamin B12
Kuttu Dosa,Kerala,Veg,Gluten,250,40,8.0,6,3,220,Vitamin B1
Chicken Kurma,Kerala,Non-Veg,Dairy,400,20,25.0,30,6,600,Vitamin B12
Mango Lassi,Kerala,Veg,Dairy,250,35,8.0,6,12,150,Vitamin A
Fish Curry with Rice,Kerala,Non-Veg,None,500,70,20.0,25,6,700,Vitamin B12
Vegetable Soup,Kerala,Veg,None,100,10,2.0,3,2,80,"Vitamin A, C"
Chicken Kabab,Kerala,Non-Veg,None,300,10,20.0,25,5,500,Vitamin B12
Mutton Biryani with Raita,Kerala,Non-Veg,Dairy,550,65,25.0,35,8,750,Vitamin B12
Vegetable Pakora,Kerala,Veg,None,300,35,15.0,6,3,250,"Vitamin A, C"
Egg Roast,Kerala,Non-Veg,None,300,10,20.0,20,4,400,Vitamin B12
Prawn Soup,Kerala,Non-Veg,None,150,5,8.0,15,4,250,Vitamin B12
Vegetable Manchurian,Kerala,Veg,None,250,35,15.0,8,5,300,Vitamin C
Beef Steak,Kerala,Non-Veg,None,400,5,30.0,25,4,600,Vitamin B12
Chicken Korma,Kerala,Non-Veg,Dairy,350,20,25.0,20,5,500,Vitamin B12
Mutton Nihari,Kerala,Non-Veg,None,500,20,35.0,30,6,700,Vitamin B12
Fish Biriyani,Kerala,Non-Veg,None,500,60,20.0,25,8,750,Vitamin B12
Vegetable Pappu,Kerala,Veg,None,250,30,10.0,8,3,180,"Vitamin A, C"
Pulao with Vegetables,Kerala,Veg,None,300,50,12.0,8,4,250,Vitamin B1
Mutton Curry with Rice,Kerala,Non-Veg,None,550,60,25.0,30,8,750,Vitamin B12
Chicken Pasta,Kerala,Non-Veg,Dairy,400,55,20.0,15,6,500,Vitamin B12
Kachori,Kerala,Veg,Gluten,250,30,12.0,6,4,200,Vitamin B1
Beef Cutlet,Kerala,Non-Veg,None,300,15,20.0,25,5,500,Vitamin B12
Vegetable Biryani,Kerala,Veg,None,350,55,12.0,10,5,250,Vitamin B1
Tapioca with Coconut,Kerala,Veg,None,350,70,10.0,5,5,300,Vitamin C
Beef Kabab,Kerala,Non-Veg,None,350,10,25.0,20,5,600,Vitamin B12
Chickpea Salad,Kerala,Veg,None,180,20,5.0,7,2,150,"Vitamin A, C"
Chicken Masala,Kerala,Non-Veg,None,400,15,25.0,30,6,600,Vitamin B12
Vegetable Khichdi,Kerala,Veg,None,250,50,10.0,8,5,200,Vitamin B1
Fish Tikka,Kerala,Non-Veg,None,300,10,20.0,25,4,500,Vitamin B12
Egg Bhurji,Kerala,Non-Veg,None,300,10,20.0,20,3,400,Vitamin B12
Chicken Shawarma,Kerala,Non-Veg,None,400,30,20.0,15,5,600,Vitamin B12
Paneer Tikka,Kerala,Veg,Dairy,250,10,18.0,15,5,300,"Vitamin A, C"
Chole Bhature,Kerala,Veg,Gluten,500,60,20.0,15,6,350,Vitamin B1
Ghee Roast,Kerala,Veg,Dairy,300,50,20.0,10,6,300,Vitamin A
Beef Soup,Kerala,Non-Veg,None,150,10,8.0,12,2,250,Vitamin B12
Vegetable Upma,Kerala,Veg,Gluten,200,30,8.0,6,4,200,Vitamin B1
Keralan Prawn Curry,Kerala,Non-Veg,None,400,15,25.0,30,5,600,Vitamin B12
Mutton Seekh Kebab,Kerala,Non-Veg,None,400,15,30.0,25,5,600,Vitamin B12
Egg Curry with Rice,Kerala,Non-Veg,Dairy,400,20,25.0,20,5,500,Vitamin B12
Fish in Coconut Sauce,Kerala,Non-Veg,Dairy,350,15,20.0,25,6,600,Vitamin B12
Chicken Satay,Kerala,Non-Veg,None,300,10,20.0,25,4,500,Vitamin B12
Vegetable Patties,Kerala,Veg,None,250,35,10.0,8,4,200,"Vitamin A, C"
Chicken Pulao,Kerala,Non-Veg,None,500,60,20.0,35,6,700,Vitamin B12
Kerala Kachori,Kerala,Veg,Gluten,250,30,12.0,6,4,200,Vitamin B1
Mutton Kofta Curry,Kerala,Non-Veg,Dairy,500,20,30.0,25,6,700,Vitamin B12
Vegetable Pulao,Kerala,Veg,None,300,55,12.0,8,4,250,Vitamin B1
Fish Masala,Kerala,Non-Veg,None,350,15,20.0,25,6,600,Vitamin B12
Beef Biryani,Kerala,Non-Veg,None,500,60,25.0,35,8,750,Vitamin B12
Chicken Biryani,Kerala,Non-Veg,None,500,60,25.0,35,8,750,Vitamin B12
Prawn Curry,Kerala,Non-Veg,None,350,15,20.0,25,5,500,Vitamin B12
Bisi Bele Bath,Karnataka,Veg,None,300,55,10.0,8,5,600,"Vitamin B1, Vitamin B2"
Rava Idli,Karnataka,Veg,Gluten,250,45,8.0,6,3,500,"Vitamin B1, Vitamin B2"
Masala Dosa,Karnataka,Veg,Gluten,400,60,15.0,10,5,800,"Vitamin B1, Vitamin C"
Mysore Pak,Karnataka,Veg,Dairy,350,40,20.0,12,30,200,"Vitamin A, Vitamin B12"
Dharwad Peda,Karnataka,Veg,Dairy,400,45,22.0,14,28,150,"Vitamin A, Vitamin B12"
Uttapam,Karnataka,Veg,Gluten,300,50,12.0,8,4,650,"Vitamin B1, Vitamin B2"
Vada,Karnataka,Veg,Gluten,350,40,18.0,10,6,700,"Vitamin B1, Vitamin B2"
Ragi Mudde,Karnataka,Veg,None,250,45,3.0,8,2,400,"Vitamin B1, Vitamin C"
Sambar,Karnataka,Veg,None,150,20,5.0,8,4,300,"Vitamin A, Vitamin C"
Puliyodarai,Karnataka,Veg,None,280,50,10.0,6,8,650,"Vitamin B1, Vitamin B2"
Chicken Biryani,Karnataka,Non-Veg,None,500,65,22.0,20,10,900,"Vitamin B6, Vitamin C"
Mutton Curry,Karnataka,Non-Veg,None,600,25,40.0,30,12,1000,"Vitamin B12, Vitamin C"
Fish Fry,Karnataka,Non-Veg,None,450,20,30.0,15,5,800,"Vitamin D, Vitamin B12"
Kori Rotti,Karnataka,Non-Veg,Gluten,400,55,20.0,18,10,750,"Vitamin B1, Vitamin C"
Neer Dosa,Karnataka,Veg,Gluten,200,35,5.0,4,2,400,"Vitamin B1, Vitamin C"
Chitranna,Karnataka,Veg,None,280,50,8.0,6,4,550,"Vitamin B1, Vitamin B2"
Kadabu,Karnataka,Veg,Gluten,350,60,15.0,10,6,650,"Vitamin B1, Vitamin B2"
Benne Dosa,Karnataka,Veg,Gluten,400,55,18.0,12,7,700,"Vitamin B1, Vitamin B2"
Puliogare,Karnataka,Veg,None,290,50,8.0,7,5,600,"Vitamin B1, Vitamin C"
Kesaribath,Karnataka,Veg,Dairy,350,60,10.0,18,20,250,"Vitamin A, Vitamin B12"
Maddur Vada,Karnataka,Veg,Gluten,320,50,15.0,8,7,600,"Vitamin B1, Vitamin B2"
Pesarattu,Karnataka,Veg,None,280,40,12.0,7,4,500,"Vitamin B1, Vitamin C"
Rawa Kesari,Karnataka,Veg,Dairy,400,55,15.0,20,25,300,"Vitamin A, Vitamin B12"
Kadai Chicken,Karnataka,Non-Veg,None,500,30,35.0,22,8,850,"Vitamin B6, Vitamin C"
Mutton Kheema,Karnataka,Non-Veg,None,550,20,40.0,25,9,950,"Vitamin B12, Vitamin C"
Fish Curry,Karnataka,Non-Veg,None,450,25,30.0,18,7,800,"Vitamin D, Vitamin B12"
Chicken Kebab,Karnataka,Non-Veg,None,500,15,40.0,20,10,850,"Vitamin B6, Vitamin C"
Mango Chutney,Karnataka,Veg,None,100,30,0.0,25,10,200,"Vitamin A, Vitamin C"
Aloo Curry,Karnataka,Veg,None,250,35,10.0,7,5,400,"Vitamin C, Vitamin B6"
Rasam,Karnataka,Veg,None,120,15,3.0,6,4,250,"Vitamin C, Vitamin B1"
Coconut Chutney,Karnataka,Veg,Dairy,150,10,12.0,2,6,300,"Vitamin C, Vitamin E"
Saggubiyyam Payasam,Karnataka,Veg,Dairy,300,40,8.0,20,15,200,"Vitamin A, Vitamin B12"
Gobi Masala,Karnataka,Veg,None,270,30,10.0,8,5,400,"Vitamin C, Vitamin B6"
Tamarind Rice,Karnataka,Veg,None,300,55,10.0,8,7,600,"Vitamin B1, Vitamin C"
Curd Rice,Karnataka,Veg,Dairy,350,50,8.0,6,8,500,"Vitamin B12, Vitamin C"
Rawa Idli,Karnataka,Veg,Gluten,250,45,8.0,6,3,500,"Vitamin B1, Vitamin B2"
Mysore Masala Dosa,Karnataka,Veg,Gluten,400,60,15.0,12,5,800,"Vitamin B1, Vitamin C"
Kele (Banana) Pancake,Karnataka,Veg,None,350,45,8.0,15,10,400,"Vitamin B6, Vitamin C"
Kootu,Karnataka,Veg,None,280,35,8.0,5,4,350,"Vitamin A, Vitamin C"
Samosa,Karnataka,Veg,Gluten,350,50,15.0,10,8,650,"Vitamin B1, Vitamin B2"
Chappati,Karnataka,Veg,Gluten,200,40,4.0,6,2,400,"Vitamin B1, Vitamin C"
Bhath (Rice Dish),Karnataka,Veg,None,300,55,12.0,7,6,600,"Vitamin B1, Vitamin C"
Vegetable Biryani,Karnataka,Veg,None,400,60,15.0,10,8,700,"Vitamin A, Vitamin C"
Chicken Curry,Karnataka,Non-Veg,None,500,25,35.0,20,10,850,"Vitamin B6, Vitamin C"
Mutton Shorba,Karnataka,Non-Veg,None,450,20,30.0,15,8,800,"Vitamin B12, Vitamin C"
Fish Tikka,Karnataka,Non-Veg,None,400,15,25.0,15,7,700,"Vitamin D, Vitamin B12"
Rawa Dosa,Karnataka,Veg,Gluten,300,50,12.0,8,5,650,"Vitamin B1, Vitamin B2"
Ragi Rotti,Karnataka,Veg,None,250,45,4.0,8,2,400,"Vitamin B1, Vitamin C"
Vegetable Korma,Karnataka,Veg,None,320,40,15.0,12,7,500,"Vitamin A, Vitamin C"
